Timestamp,Depth,Score,Time,Nodes,NPS,TT_Cuts,USE_TT,USE_MOVE_ORDERING,USE_KILLER_MOVES,USE_QUIESCENCE,DEBUG_STATS
16:49:27,3,1276,0.821,6268,7639,0,False,False,False,False,True
16:49:29,3,1205,0.873,6539,7486,0,False,False,False,False,True
16:49:31,2,1117,0.078,515,6623,0,False,False,False,False,True
16:49:33,3,1469,0.560,4245,7578,0,False,False,False,False,True
16:49:35,3,1488,0.584,4351,7451,0,False,False,False,False,True
16:49:37,3,1494,0.876,6805,7769,0,False,False,False,False,True
16:49:39,2,1159,0.071,523,7411,0,False,False,False,False,True
16:49:41,2,1482,0.081,585,7225,0,False,False,False,False,True
16:49:43,2,1774,0.082,571,6996,0,False,False,False,False,True
16:49:46,3,2173,0.584,4696,8040,0,False,False,False,False,True
16:49:48,2,1911,0.069,539,7841,0,False,False,False,False,True
16:49:50,3,2489,0.508,4218,8305,0,False,False,False,False,True
16:49:52,3,inf,0.230,1808,7867,0,False,False,False,False,True
16:50:19,3,-214,0.185,1352,7307,0,False,False,False,False,True
16:50:21,3,-94,0.339,2531,7471,0,False,False,False,False,True
16:50:23,3,-24,0.608,4187,6887,0,False,False,False,False,True
16:50:25,3,299,0.433,3094,7152,0,False,False,False,False,True
16:50:27,3,274,0.369,2405,6512,0,False,False,False,False,True
16:50:29,3,439,0.548,3620,6610,0,False,False,False,False,True
16:50:31,3,393,0.529,3699,6997,0,False,False,False,False,True
16:50:33,3,398,0.721,4951,6865,0,False,False,False,False,True
16:50:35,3,593,0.789,5509,6979,0,False,False,False,False,True
16:50:38,3,568,0.829,6128,7390,0,False,False,False,False,True
16:50:40,3,858,0.850,6285,7390,0,False,False,False,False,True
16:50:42,3,1276,0.844,6268,7430,0,False,False,False,False,True
16:50:44,3,1205,0.879,6539,7436,0,False,False,False,False,True
16:50:46,2,1117,0.078,515,6641,0,False,False,False,False,True
16:50:48,3,1469,0.573,4245,7408,0,False,False,False,False,True
16:50:50,3,1488,0.567,4351,7670,0,False,False,False,False,True
16:50:52,3,1494,0.885,6805,7692,0,False,False,False,False,True
16:50:54,2,1159,0.073,523,7117,0,False,False,False,False,True
16:50:56,2,1482,0.085,585,6911,0,False,False,False,False,True
16:50:58,2,1774,0.085,571,6700,0,False,False,False,False,True
16:51:00,3,2173,0.603,4696,7786,0,False,False,False,False,True
16:51:02,2,1911,0.073,539,7353,0,False,False,False,False,True
16:51:04,3,2489,0.501,4218,8415,0,False,False,False,False,True
16:51:06,3,inf,0.227,1808,7951,0,False,False,False,False,True
16:54:56,3,-214,0.171,1352,7895,0,True,False,False,False,True
16:54:58,3,-94,0.336,2531,7538,0,True,False,False,False,True
16:55:00,3,-24,0.558,4187,7500,0,True,False,False,False,True
16:55:02,3,299,0.410,3082,7517,1,True,False,False,False,True
16:55:04,3,274,0.328,2405,7322,0,True,False,False,False,True
16:55:06,3,439,0.501,3620,7231,0,True,False,False,False,True
16:55:08,3,393,0.495,3699,7469,0,True,False,False,False,True
16:55:10,3,398,0.659,4951,7515,0,True,False,False,False,True
16:55:12,3,593,0.785,5509,7021,0,True,False,False,False,True
16:55:14,3,568,0.759,6128,8072,0,True,False,False,False,True
16:55:16,3,858,0.806,6285,7799,0,True,False,False,False,True
16:55:18,3,1276,0.780,6268,8038,0,True,False,False,False,True
16:55:20,3,1205,0.851,6539,7683,0,True,False,False,False,True
16:55:22,2,1117,0.070,515,7364,0,True,False,False,False,True
16:55:24,3,1469,0.526,4245,8069,0,True,False,False,False,True
16:55:26,3,1488,0.570,4351,7639,0,True,False,False,False,True
16:55:28,3,1494,0.860,6805,7911,0,True,False,False,False,True
16:55:30,2,1159,0.076,523,6925,0,True,False,False,False,True
16:55:32,2,1482,0.083,585,7087,0,True,False,False,False,True
16:55:34,2,1774,0.073,571,7791,0,True,False,False,False,True
16:55:36,3,2173,0.552,4696,8514,0,True,False,False,False,True
16:55:38,2,1911,0.071,539,7585,0,True,False,False,False,True
16:55:40,3,2489,0.481,4218,8773,0,True,False,False,False,True
16:55:42,3,inf,0.209,1808,8668,0,True,False,False,False,True
16:55:54,3,-214,0.180,1352,7524,0,True,False,False,False,True
16:55:56,3,-94,0.346,2531,7309,0,True,False,False,False,True
16:55:58,3,-24,0.582,4187,7195,0,True,False,False,False,True
16:56:00,3,299,0.421,3082,7326,1,True,False,False,False,True
16:56:02,3,274,0.340,2405,7070,0,True,False,False,False,True
16:56:04,3,439,0.508,3620,7129,0,True,False,False,False,True
16:56:06,3,393,0.515,3699,7177,0,True,False,False,False,True
16:56:08,3,398,0.722,4951,6858,0,True,False,False,False,True
16:56:10,3,593,0.772,5509,7140,0,True,False,False,False,True
16:56:12,3,568,0.817,6128,7501,0,True,False,False,False,True
16:56:14,3,858,0.882,6285,7124,0,True,False,False,False,True
16:56:16,3,1276,0.819,6268,7649,0,True,False,False,False,True
16:56:18,2,749,0.064,463,7250,0,True,False,False,False,True
16:56:20,2,648,0.074,496,6731,0,True,False,False,False,True
16:56:22,3,1203,0.493,3623,7354,0,True,False,False,False,True
16:56:24,2,1089,0.070,534,7624,0,True,False,False,False,True
16:56:26,2,1119,0.096,723,7520,0,True,False,False,False,True
16:56:28,3,1534,0.692,5397,7794,0,True,False,False,False,True
16:56:30,2,1604,0.100,760,7621,0,True,False,False,False,True
16:56:32,2,1743,0.103,757,7324,0,True,False,False,False,True
16:56:34,2,1771,0.087,662,7614,0,True,False,False,False,True
16:56:36,2,1768,0.101,734,7267,0,True,False,False,False,True
16:56:38,2,1765,0.090,665,7420,0,True,False,False,False,True
16:56:40,2,1745,0.072,569,7870,0,True,False,False,False,True
16:56:42,3,inf,0.650,5092,7835,0,True,False,False,False,True
16:56:44,3,inf,0.787,6821,8671,0,True,False,False,False,True
16:56:46,3,inf,0.580,5200,8958,0,True,False,False,False,True
16:57:34,3,-6,0.169,1892,11217,0,True,False,False,True,True
16:57:37,3,-129,0.426,3808,8929,0,True,False,False,True,True
16:57:39,3,277,0.575,4846,8433,0,True,False,False,True,True
16:57:41,3,612,0.708,5517,7797,0,True,False,False,True,True
16:57:43,3,656,0.426,3870,9074,0,True,False,False,True,True
16:57:45,2,1096,0.484,3314,6842,0,True,False,False,True,True
16:57:47,2,1096,0.366,2561,7005,0,True,False,False,True,True
16:57:49,3,935,0.868,7647,8806,0,True,False,False,True,True
16:57:51,2,1215,0.095,1042,10959,0,True,False,False,True,True
16:57:53,2,1241,0.128,1271,9905,0,True,False,False,True,True
16:57:55,3,1241,0.562,4866,8659,0,True,False,False,True,True
16:57:57,2,inf,0.074,678,9220,0,True,False,False,True,True
16:58:05,3,-6,0.168,1892,11286,0,True,False,False,True,True
16:58:07,3,-129,0.427,3808,8924,0,True,False,False,True,True
16:58:09,3,277,0.604,4846,8025,0,True,False,False,True,True
16:58:11,3,612,0.723,5517,7633,0,True,False,False,True,True
16:58:13,3,656,0.418,3870,9262,0,True,False,False,True,True
16:58:15,2,1096,0.482,3314,6880,0,True,False,False,True,True
16:58:17,2,1096,0.355,2561,7208,0,True,False,False,True,True
16:58:19,3,935,0.880,7647,8693,0,True,False,False,True,True
16:58:21,2,1215,0.096,1042,10833,0,True,False,False,True,True
16:58:24,2,1241,0.132,1271,9636,0,True,False,False,True,True
16:58:26,3,1241,0.579,4866,8407,0,True,False,False,True,True
16:58:28,2,inf,0.093,678,7282,0,True,False,False,True,True
